,id,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,Designation,MonthlyIncome,ProdTaken,marital_status,car,children_number
0,0,50,0,2,900.0,0,1,1.0,4.0,0,3.0,5,1,4,4.0,253905,1,0,0,0
1,1,56,1,1,840.0,1,1,1.0,4.0,1,3.0,2,1,4,2.0,404475,0,1,1,0
2,2,39,0,1,600.0,0,0,1.0,3.0,0,3.0,4,0,4,4.0,278145,1,2,0,0
3,3,37,0,2,1080.0,2,0,1.0,3.0,1,4.0,1,0,5,2.0,326805,0,1,1,0
4,4,48,1,3,1020.0,2,0,1.0,3.0,0,4.0,4,0,4,4.0,258435,1,3,1,0
5,5,19,0,2,960.0,2,1,1.0,3.0,0,3.0,2,0,4,4.0,260000,0,3,0,0
6,6,47,1,3,840.0,2,1,1.0,3.0,2,4.0,1,0,4,1.0,453180,0,3,1,0
7,7,49,0,2,1320.0,2,1,1.0,3.0,0,3.0,2,0,4,4.0,261900,0,2,0,0
8,8,33,1,2,1200.0,0,0,1.0,3.0,0,3.0,4,0,4,4.0,247800,1,3,0,0
9,9,39,1,1,660.0,0,1,1.0,3.0,0,3.0,2,0,3,2.0,257610,0,2,1,0
10,10,51,1,1,840.0,2,0,1.0,3.0,1,3.0,4,0,3,2.0,351900,0,0,0,0
11,11,46,0,1,960.0,2,1,1.0,3.0,2,4.0,6,0,3,1.0,416430,0,1,1,0
12,12,39,1,1,1920.0,2,0,1.0,3.0,2,3.0,4,0,3,1.0,477555,0,3,1,0
13,13,51,0,2,1020.0,2,0,1.0,3.0,2,4.0,5,0,4,1.0,440000,0,2,1,0
14,14,39,1,2,840.0,2,0,1.0,3.0,0,3.0,1,0,3,4.0,300000,1,3,1,0
15,15,20,0,1,1440.0,2,0,1.0,3.0,0,3.0,2,0,4,4.0,253665,1,3,1,0
16,16,25,1,2,1380.0,2,1,1.0,3.0,0,3.0,1,0,3,4.0,258600,1,3,0,0
17,17,53,0,2,2100.0,2,1,1.0,3.0,2,3.0,4,0,3,1.0,500000,1,0,1,0
18,18,20,1,2,420.0,2,0,1.0,3.0,1,3.0,1,1,3,2.0,400000,0,2,0,0
19,19,44,1,2,300.0,2,1,1.0,3.0,2,3.0,1,1,4,1.0,286245,0,2,0,0
20,20,30,0,1,480.0,1,0,1.0,3.0,1,3.0,2,0,3,2.0,455250,0,0,0,0
21,21,34,1,2,960.0,1,0,1.0,3.0,0,3.0,2,0,4,4.0,263715,0,1,1,0
22,22,29,1,1,480.0,1,0,1.0,3.0,0,3.0,1,0,3,4.0,262725,1,1,0,0
23,23,56,1,2,900.0,1,1,1.0,3.0,2,3.0,1,0,3,1.0,431265,0,2,1,0
24,24,30,0,2,960.0,1,1,1.0,3.0,0,3.0,2,0,4,4.0,250275,0,1,1,0
25,25,41,1,2,780.0,1,1,1.0,3.0,3,3.0,1,0,4,3.0,303345,0,2,0,0
26,26,39,0,1,780.0,1,0,1.0,3.0,3,3.0,1,0,4,3.0,256845,0,3,1,0
27,27,50,1,1,840.0,1,0,1.0,3.0,1,3.0,2,0,3,2.0,368940,0,0,0,0
28,28,52,0,1,1020.0,1,0,1.0,3.0,2,3.0,4,0,3,1.0,456405,0,2,1,0
29,29,22,0,2,600.0,1,1,1.0,3.0,0,3.0,1,0,4,4.0,258885,1,3,0,0
30,30,39,1,2,900.0,1,0,1.0,3.0,3,3.0,1,1,3,3.0,316680,0,2,0,0
31,31,52,0,3,1920.0,1,0,1.0,3.0,2,3.0,2,1,5,1.0,500000,0,1,0,0
32,32,46,1,3,480.0,1,1,1.0,3.0,1,3.0,5,1,4,2.0,359730,0,0,1,0
33,33,30,1,2,900.0,1,0,1.0,3.0,1,3.0,2,1,3,4.0,410000,0,2,0,0
34,34,28,0,1,540.0,1,0,1.0,3.0,0,3.0,5,1,3,4.0,270000,0,3,0,0
35,35,39,0,2,840.0,1,1,1.0,3.0,0,3.0,2,1,4,4.0,255405,1,3,0,0
36,36,51,1,1,1560.0,2,0,1.0,4.0,2,3.0,1,0,2,1.0,485055,0,3,1,0
37,37,50,0,3,780.0,1,0,1.0,4.0,1,4.0,5,0,1,2.0,370000,0,0,0,0
38,38,39,1,1,720.0,1,0,1.0,4.0,1,3.0,2,0,1,2.0,401775,0,0,1,0
39,39,50,1,1,480.0,2,0,1.0,5.0,1,3.0,4,0,3,2.0,477000,0,2,1,0
40,40,39,1,2,840.0,1,1,1.0,3.0,1,3.0,1,0,2,2.0,378210,1,2,0,0
41,41,33,0,2,840.0,0,0,1.0,3.0,0,3.0,2,0,2,4.0,248490,1,3,1,0
42,42,39,1,2,600.0,1,1,1.0,3.0,3,3.0,2,0,2,3.0,268440,0,2,0,0
43,43,39,1,2,1260.0,1,1,1.0,3.0,1,3.0,1,0,2,2.0,362580,0,3,0,0
44,44,33,-1,1,780.0,1,0,1.0,3.0,3,3.0,1,0,1,3.0,282075,0,2,0,0
45,45,39,1,1,780.0,0,0,1.0,3.0,1,4.0,1,0,1,2.0,356760,0,2,1,0
46,46,59,1,2,480.0,2,1,1.0,3.0,1,3.0,1,0,2,2.0,364980,0,2,0,0
47,47,43,1,2,840.0,2,1,1.0,3.0,1,3.0,5,0,2,3.0,350310,0,2,0,0
48,48,32,1,2,1500.0,1,1,1.0,4.0,1,3.0,3,0,2,2.0,429570,1,0,0,0
49,49,47,0,1,900.0,2,0,1.0,3.0,0,3.0,1,0,1,4.0,272475,0,1,0,0
50,50,39,1,2,960.0,2,1,1.0,3.0,0,3.0,2,0,1,4.0,273840,0,1,0,0
51,51,53,0,1,720.0,1,1,1.0,3.0,1,3.0,1,0,1,2.0,372150,0,0,0,0
52,52,56,0,1,660.0,1,1,1.0,3.0,2,4.0,5,0,1,1.0,462615,0,2,1,0
53,53,33,1,1,660.0,1,1,1.0,3.0,1,3.0,5,0,2,2.0,345690,0,0,0,0
54,54,58,1,1,840.0,1,0,1.0,3.0,3,3.0,4,0,1,3.0,397245,0,0,0,0
55,55,33,1,2,960.0,1,0,1.0,3.0,3,3.0,5,0,2,3.0,297855,0,2,1,0
